cell_line,treatment,mito_area,mito_intensity_sum,mito_intensity_avg,nuclei_area,nuclei_intensity_sum,nuclei_intensity_avg,Delta Psi 1,cell_area,mito_content,mito_area_std,mito_intensity_sum_std,mito_intensity_avg_std,nuclei_area_std,nuclei_intensity_sum_std,nuclei_intensity_avg_std,Delta Psi 1_std,cell_area_std,mito_content_std,na1,na2,nt1,nt2,ntm,fa1,fa2,ft1,ft2,ftm,nint,fint,normrr,na1_std,na2_std,nt1_std,nt2_std,ntm_std,fa1_std,fa2_std,ft1_std,ft2_std,ftm_std,nint_std,fint_std,normrr_std,mito_sample_count,lifetime_sample_count,has_mito_data,has_lifetime_data
A549,cccp,425.0432098765432,9542.645061728395,26.651182581943868,367.9691358024691,2061.283950617284,5.882464972376782,-90.63315905007289,1283.54012345679,0.3244782502266357,257.2599448839192,5498.973971333729,20.264530040638352,114.16965936165128,1162.567602317533,3.2827036867079604,21.863089264108247,473.4572877659443,0.11318672505181902,75.56431630552024,24.43568369462428,406.27894999161856,2167.6177286098264,833.917618248266,79.39717861026011,20.602821405953758,773.0148917034683,3270.741573890173,1246.135986965318,304.48766698554914,59.32982353017341,0.8482744039161849,1.1765659192821585,1.1765659186640394,14.054354249394473,44.991837043641546,29.307482921912882,0.9166836982066771,0.9166836998980112,52.619468104486245,738.4244810381988,64.10494398166229,58.06240735488946,27.805199417168033,0.042977797633773185,324,346.0,True,True
A549,control,216.7390243902439,28705.565853658536,149.87236237881694,382.8609756097561,6350.285365853659,17.571360866459365,-132.5470733386005,1038.309756097561,0.20636490487739512,121.4046465520362,13250.733614854633,61.13107125291479,119.32992496314951,2747.5590142796073,8.046806643016819,27.258996869154213,390.3350941481649,0.07319870128183005,77.89623587234637,22.103764132988825,442.89615572150836,2245.2898878491624,829.9484748525139,79.32963885365922,20.670361145754192,772.3286311882681,3132.3447932122904,1225.4539676899442,313.0666438189944,60.96096725293297,0.8473687945754189,0.9681067108209327,0.9681067110256267,11.451468988900073,49.40690320412191,24.379201794981185,0.8431892067733466,0.8431892005311401,43.56406547755451,357.2926477331705,50.66129177066454,64.79778922627703,21.529417163353962,0.02551583111641265,410,358.0,True,True
A549,oligomycin,223.91803278688525,22943.467213114753,121.12950181133291,384.64207650273227,5353.098360655737,14.77738875686644,-130.90717437026512,1057.7459016393443,0.20997624791185854,131.7347016512095,10354.750926421993,57.809524221986614,129.27490207657948,2766.564722340943,7.686854931408227,32.51384149521599,363.12454321798054,0.09088382762321749,77.09019363247911,22.909806367158776,442.85792221504175,2244.322456,851.9224509927577,79.35238919768803,20.647610795849584,793.866131446518,3102.830778284122,1237.387400362117,347.02630076629526,60.05860933364903,0.8608216211364903,1.0470999386291837,1.0470999387470072,19.199825240251034,48.214796202796684,26.696714970784463,0.8119461149390191,0.8119461381735883,27.731010274982967,296.4239043865918,51.21051534179337,57.80170767853888,17.231253728881438,0.02525940264796676,366,359.0,True,True
HELA,cccp,359.7631578947368,1555.3026315789473,4.264888732531935,465.8421052631579,314.55263157894734,0.6624973584287401,-117.76741482352226,2166.5263157894738,0.16733421806211454,192.07886355495077,951.9944260304167,0.8360266380911847,178.63796182085366,206.19494948466232,0.24438330558274862,16.99848920474346,1090.3250215562234,0.045979620235111915,74.74532457130435,25.253723648196928,451.0722668280051,2436.481848415601,938.6470175549872,76.1764140213555,23.82358597719949,231.0560977955243,1990.1201916329924,646.5044609071612,54.5231764764578,38.55074306349105,0.6617413014629157,2.0639304317182594,2.063792461404374,36.35431940997582,265.92245669837183,62.35701173332308,1.379732181752411,1.3797321842844785,19.50888978728532,58.02447160488368,38.23848373944021,7.1041973938337915,10.85282937231628,0.04069519471656669,76,782.0,True,True
HELA,control,284.29695024077046,7631.3178170144465,27.52445333167752,460.3322632423756,1150.5922953451043,2.650655695994947,-149.70572837342843,1086.5056179775281,0.2619745398122882,108.93403461469894,3443.3247881341595,9.837590064507756,160.5742319222163,635.5460831941082,1.5588535406245718,25.72814793257584,354.36476322928655,0.05756197410167664,75.97765406274901,24.022345932828685,432.4730479573705,2662.9930605418326,952.427571889243,77.09947621585657,22.900523783505975,224.28613796533864,1937.4260980000001,612.9609445270917,82.82079365896415,39.44876485318725,0.7290635898326693,2.853818101488609,2.8538181062734185,33.476451442176064,442.69064417194085,84.39782743051835,1.3984203191652587,1.3984203203772838,19.58205094415272,62.29675077092242,34.38069197110147,11.86171389937613,11.419502695703672,0.04141911634073484,623,251.0,True,True
HELA,oligomycin,388.8512396694215,10381.316804407714,27.068572002364075,542.5743801652893,1309.2355371900826,2.535358057428543,-150.93682371895792,1344.168044077135,0.286975076357798,155.87979424426217,5215.3840884954025,10.388760388406823,155.14120590708623,742.0947339126479,1.469817325818905,24.81411184901367,419.20193060002686,0.06396655945136705,79.5172423380848,20.459883936403507,420.3030239761696,2609.486878480994,855.1854514619884,77.22911235909358,22.77088761394737,234.8502537491228,1977.3022905540938,627.070855677193,98.34652065938597,34.274333256590644,0.7765780344590644,2.371996440113865,2.353488129789884,26.002333212725535,430.0664808399913,70.30985541084624,2.738398436070703,2.73839858027943,34.67569026594255,78.20957576955594,79.15352513713182,16.560461005519144,13.56113728556895,0.05498441322390054,726,684.0,True,True
HFF,cccp,548.9285714285714,1806.2142857142858,3.167708772516346,1240.5714285714287,446.57142857142856,0.3546857834877387,-136.37567847821816,5088.285714285715,0.10284935750955737,506.5763613613547,1773.5765333867664,0.3118751015516008,681.0472381996279,334.9309261246642,0.09215383061756773,14.062973989957781,2620.719526230313,0.056847297275786794,78.09174174411112,21.908258277999998,472.2461327177778,2349.496063888889,874.3388617222222,78.83285482766667,21.167145268555554,459.81523853000004,2687.0706968777777,879.7637332266667,177.06667135844444,144.31416828747777,0.6527657881777778,2.7150189670800984,2.7150189287104904,184.30214834711538,387.93201206166884,234.3212218410702,3.3473642528250376,3.3473642938059265,267.3187252584086,607.7813144939807,320.3999743387316,64.59212340369965,80.18114457391859,0.0888113861731184,14,90.0,True,True
HFF,control,1723.686274509804,22815.70588235294,12.704365099970982,859.5294117647059,1032.0588235294117,1.1413262189614384,-152.1768173523571,9058.450980392157,0.1979926806701875,1590.8013388251352,22617.17130084495,4.062328830034765,452.08253020620805,911.5837736986042,0.5537904671445237,25.823133311216303,7241.219655040787,0.05749082455658859,77.95068646,22.049313554868423,428.40657472894736,2260.2730916052633,821.721604993421,76.62674629657894,23.373253701710524,434.98458482236845,2492.086752473684,889.3897461486841,204.83736798460527,168.7261262905263,0.638560146381579,1.3598755749079476,1.3598755663744755,157.09947097114897,363.8194815570003,191.48183482760638,2.187109276889186,2.187109286156308,219.60609671736606,474.0281561664591,248.52364847958256,49.85268305522691,65.65721691960337,0.0637695813042467,51,76.0,True,True
HFF,oligomycin,1007.4520547945206,8903.054794520547,8.351632200080076,836.7808219178082,593.6712328767123,0.710079455082962,-157.0894358380609,6412.315068493151,0.16217494884006714,754.6005941536943,7547.205744678717,2.9441924915546855,432.74951847252703,451.9926577204338,0.3860510957677297,24.081874278172915,4420.311153190439,0.05279814668029742,79.35909977142857,20.64090027956044,304.57647444725274,2029.7818721758242,658.8118720065934,75.77428504032967,24.225714993406594,522.2577343362638,2645.017703318681,990.5850285076924,196.75927461065933,143.38720346626374,0.6688203475274725,4.091569187717139,4.091569146475249,145.99252119522728,300.0812301316587,222.4530074467462,2.3879291410298475,2.387929044151831,241.74616269718734,606.0243444870587,243.84873710594573,54.89038251240631,63.95094714821086,0.06613250254149976,73,91.0,True,True
IMR90,cccp,721.7301587301587,4468.015873015873,5.886938325329314,749.5079365079365,682.7142857142857,0.9277582959501064,-119.08440323450331,3883.7301587301586,0.1898037088998283,436.7434917937163,3783.179195111518,1.6747140473659485,346.6228252733972,444.05166905735945,0.4790561348603868,25.065104219743187,1827.570511470997,0.07244008666507828,77.28311525926281,22.716884688076924,378.15060240929483,2146.8024325801284,768.2804913990385,76.04747115339744,23.952528850833335,315.12859255288464,2178.855984528846,741.3744223391026,185.48794097810898,176.29689304708333,0.5842436818589744,1.661508998803204,1.6615095278475616,72.20901499772727,265.52805452885366,97.30962325465585,1.6891742584730882,1.6891742244154866,81.23758453838795,275.59688783649057,94.25711304085456,63.31652721030088,84.108736617969,0.06616993679703877,63,312.0,True,True
IMR90,control,1100.9411764705883,17509.745098039217,15.62680533415399,596.1960784313726,1050.686274509804,1.7463505486350146,-140.68832799890805,3729.6862745098038,0.2949689012491053,628.2604275476568,11431.403377621948,3.543357593087581,210.43590022446486,663.7243848297774,0.8760861677130363,27.474256655809846,2048.1246867036666,0.05466163966771088,77.16964551536459,22.81269914682292,477.8703637401042,2400.2719348541664,896.8941419401041,76.99673486697917,23.00326512578125,369.5626480104167,2538.1968634947916,801.3635276114583,139.11682291708334,116.56131881598958,0.6428548321145834,1.3780351447510897,1.3956075474160266,114.40989532732632,337.0243199288275,137.5752408700693,2.150005515294153,2.1500054973327547,78.21991500523016,698.977899711586,89.13176693132483,55.59658179189033,68.74395979256677,0.08099375322548895,102,192.0,True,True
IMR90,oligomycin,828.7179487179487,10461.051282051281,11.975473820417957,607.4871794871794,573.5042735042736,0.9666763731789141,-163.42947638925685,3397.6837606837607,0.24529464917329794,501.73156798530954,7766.6122133919835,3.3034239251823307,248.89177177712287,442.2805051550435,0.6609838316468951,26.229072605084127,1909.4060533885322,0.0643929538336251,77.77801490375,22.220210063892857,511.22858503000003,2421.2114497785715,916.2138039671428,77.27942384867858,22.72057620459643,367.9291745043929,2803.3542429642857,791.1730634625001,141.41298820757143,102.99721139297857,0.6836691711571429,1.222473925768478,1.2229758858265196,152.7040283836692,390.72596908525446,184.55996402549212,3.3586318895135325,3.3586317614838923,74.01475033371091,1942.5927395924598,130.18954705465347,67.827522399098,73.03881909998779,0.07700913601598693,117,280.0,True,True
MCF10A,cccp,722.7383512544803,7882.218637992832,12.804822524277782,274.1254480286738,1107.5591397849462,3.9768703220776573,-62.631551936561515,1470.3763440860216,0.49540012095865993,302.3255778704177,4106.441391918664,29.992003368742402,94.15704410390589,578.8599897012707,0.9942369234149312,15.689312552800867,584.4798200228338,0.07357623186764138,72.37698221541368,27.62301778420863,418.7423943807554,2267.178816598921,919.0924563672662,79.5596020008813,20.440397992895683,535.3363410793165,3003.1518956942446,984.4173326244604,142.57629821345324,34.11982008321942,0.8092672089532373,1.2988073823671726,1.2988073819495622,26.30280285373678,73.62564680948807,37.44666476514894,0.9294345505839064,0.9294345461462048,65.36598007625817,434.90155154186664,97.44806054407705,23.61243983577304,8.155207220443748,0.025999126114479933,279,556.0,True,True
MCF10A,control,277.1962264150943,23361.75566037736,84.38632745435228,379.4235849056604,5264.614150943396,13.86464921355434,-109.5517441333874,1033.1367924528302,0.2665017636290636,140.2265372923624,15646.698935633578,35.444633346008835,119.28176151927033,2504.147064844242,5.148082165861671,18.68454611955263,404.78683832448274,0.06950026494549728,74.43606550505348,25.56393449445187,412.37821816764705,2196.1170184518714,862.2749853052138,79.5207447052139,20.47925531950535,591.8312261220589,3284.9015051323527,1072.5319461596257,213.47731752192516,33.233531391470585,0.8630444221350267,1.3280057198102164,1.328005721335536,35.57184414178901,80.57015619503774,48.29406607832481,1.0806461712753526,1.0806461377167493,78.60355068935161,934.4092202108374,124.49299635994139,28.719900144058073,9.888289646992863,0.02773111223885025,1060,748.0,True,True
MCF10A,oligomycin,291.445434298441,23202.736080178172,80.04947236082585,360.65812917594656,5175.961024498886,14.137433535101527,-104.28265422427,1035.0189309576838,0.28040930123377106,156.09319539309675,16892.21895727117,37.99673278007153,117.86931355857794,2688.5822059778725,5.233343376134437,19.473368861470597,422.7386565841112,0.07531152156942988,75.60786373829318,24.39213626188755,414.1731797985944,2148.561817289157,831.230455763253,79.0803406423494,20.91965935076305,622.6048704568274,3187.622615070281,1116.5423523275101,214.08908264060238,36.50473944365462,0.851939829939759,1.587572127680081,1.587572128267885,18.044215602463776,60.488552944718336,35.75790651343888,0.7261367927434988,0.7261368097764361,49.120759293541376,292.1930971541895,72.81438716818064,30.803150840175924,6.965928017867217,0.018133848337068773,898,498.0,True,True
MCF7,cccp,486.83006535947715,3763.8823529411766,7.695317599714526,520.2941176470588,744.1764705882352,1.5428711816228802,-104.2814908590383,1924.078431372549,0.2633249089803277,201.81804568425372,1875.062493488994,1.875087391916799,199.2180068203827,375.21306434244906,0.7531243194541888,22.223933819936676,725.8383041752822,0.08707487742972507,63.714952197755906,36.270607909990154,431.67740749478344,2336.930623306102,1112.9946563607284,79.83516439202755,20.164835594648622,581.2350508703739,3562.0591398021656,1033.3725274890746,123.35271048170276,24.978663651704725,0.8451906180000001,2.410730950616004,2.4225894046399485,49.47504545543598,200.34965649342922,70.70078593633065,2.277916113079577,2.277916054437611,181.59932688187487,1919.893917663472,254.13173819044258,25.811412222085576,10.990501251550084,0.03315998722393594,153,1016.0,True,True
MCF7,control,276.30662557781204,4299.130970724191,14.888094225582977,534.8120184899846,407.728813559322,0.7979552297780165,-187.463889519311,1361.5315870570107,0.20090237436692518,137.64470489735842,2934.1847648645803,5.240121834402194,191.0006668362082,261.36138794752287,0.5174795155397127,26.548047886107888,555.508239099573,0.05118984956484134,67.54858880328973,32.451218838068414,416.0572931472837,2304.9133744949695,1023.4921875519115,80.69965253114688,19.30034745583501,537.1962641847083,3595.6030983299797,975.77569017998,169.67210766765595,27.49029989394668,0.8681014077213279,1.647501201827262,1.648001832916437,23.284038871403983,68.55409317728684,42.046382584788816,2.4917866396971995,2.491786948580304,147.85693944919674,2400.417484039533,230.25751603508914,29.081942085852564,12.426512873327718,0.035265806190170175,649,994.0,True,True
MCF7,oligomycin,300.93772241992883,5140.128113879004,16.65771380234054,547.3967971530249,489.51601423487546,0.908204259352992,-186.45580259136187,1535.7277580071175,0.1946590365281946,149.07618564702804,3086.4471180363,4.943920011924737,205.34486671359412,337.77090495640044,0.5585684362759862,27.50037646334988,661.251855695902,0.05059290895716636,68.19132487339913,31.801131885339913,404.61995541271926,2267.108935243421,992.728311223136,80.03911698989035,19.960883052006576,547.5801641961623,3434.0621644298244,995.649551952522,166.76481119895834,27.4720675610625,0.8637247202653509,2.0046877168642445,1.9958513308830257,21.947845547161727,70.31050944320961,45.169203487797574,1.4719531281467224,1.4719531532815378,133.05860364575437,1117.4835657778194,178.66093520094805,28.45220871536156,9.041293053697855,0.028783082294271366,562,912.0,True,True
